n,target,protocol,best_model,MAE,RMSE,MaxAE,median|y|,MaxAE/median|y|,frac(|dE2|<eps)
1.2,E0,LOARO,ridge,6.6958e-04,9.4017e-04,3.4904e-03,3.9893e+00,8.7494e-04,-
1.2,dE1,LOARO,ridge,7.4466e-04,8.8461e-04,2.7403e-03,1.4250e-02,1.9231e-01,-
1.2,dE3,LOARO,knn,9.9605e-04,1.1694e-03,2.5059e-03,1.3202e-02,1.8981e-01,-
1.2,dE2,LOARO,knn,8.7122e-04,1.2925e-03,5.2174e-03,3.4568e-03,1.5093e+00,0.657
2.0,E0,LOARO,ridge,5.0101e-04,7.0562e-04,2.5971e-03,3.9923e+00,6.5054e-04,-
2.0,dE1,LOARO,ridge,5.1656e-04,5.7494e-04,1.3883e-03,1.0089e-02,1.3761e-01,-
2.0,dE3,LOARO,knn,1.0078e-03,1.3215e-03,3.2209e-03,9.9620e-03,3.2331e-01,-
2.0,dE2,LOARO,knn,9.8935e-04,1.4365e-03,5.4279e-03,3.4876e-03,1.5564e+00,0.629
3.0,E0,LOARO,ridge,4.5250e-04,6.3092e-04,2.2419e-03,3.9929e+00,5.6146e-04,-
3.0,dE1,LOARO,linear,4.5654e-04,4.9207e-04,9.0310e-04,8.8128e-03,1.0248e-01,-
3.0,dE3,LOARO,knn,9.3995e-04,1.2605e-03,3.6152e-03,8.7253e-03,4.1434e-01,-
3.0,dE2,LOARO,knn,8.7940e-04,1.2917e-03,5.1514e-03,3.3637e-03,1.5314e+00,0.629
4.0,E0,LOARO,ridge,4.3044e-04,5.9223e-04,2.0613e-03,3.9931e+00,5.1622e-04,-
4.0,dE1,LOARO,linear,4.3362e-04,4.6634e-04,9.0030e-04,8.5191e-03,1.0568e-01,-
4.0,dE3,LOARO,knn,8.2983e-04,1.1506e-03,3.3816e-03,8.1913e-03,4.1282e-01,-
4.0,dE2,LOARO,knn,8.0464e-04,1.1689e-03,4.7053e-03,3.2534e-03,1.4463e+00,0.629
