n,r_AR,mean_Ekin_a2,max_relative_deviation_percent
1.2,0.67,12.27796733494996,0.7492825596689672
1.2,0.72,11.23003946522789,1.3810974950887098
1.2,0.78,10.2480541604187,0.934987358693381
1.2,0.83,9.52629270828416,0.6563121061614288
1.2,0.89,8.842917018162568,0.6494612309288802
1.2,0.94,8.336947894291809,1.1200033971960925
1.2,1.0,7.8543877058254195,0.7880364995041399
2.0,0.67,8.982398827294244,0.6861277914465105
2.0,0.72,8.164428034976932,0.9527085085351442
2.0,0.78,7.411711248094894,0.9378697443396299
2.0,0.83,6.899297244682411,0.8678463410318863
2.0,0.89,6.3701400828876125,0.6567062565748354
2.0,0.94,6.016658012643797,0.37649298581346546
2.0,1.0,5.663489710952689,0.5333830547142726
3.0,0.67,8.076666806092767,0.6091352864879799
3.0,0.72,7.405046796072142,1.46248773393647
3.0,0.78,6.690155666176404,0.8215631436219438
3.0,0.83,6.241938258608429,0.9896508602214976
3.0,0.89,5.7509979540611855,0.6408163734102468
3.0,0.94,5.426473078826479,0.7447725818396337
3.0,1.0,5.141477189819758,0.11635604922966342
4.0,0.67,7.780558107565808,0.8641252600867763
4.0,0.72,7.18028407568344,2.117041397693207
4.0,0.78,6.489970934652765,0.8679605609026775
4.0,0.83,6.073599636211812,1.1340286213438169
4.0,0.89,5.571666073002826,0.9059966208359934
4.0,0.94,5.26680635610756,1.0586759599674727
4.0,1.0,5.004842692727577,0.23708745885448984
